word,category,frequency
aap,roman_urdu,200
aap kaise hain,roman_urdu,190
aap theek hain,roman_urdu,180
aap ka naam kya hai,roman_urdu,175
aap kahan hain,roman_urdu,170
aap ko kya chahiye,roman_urdu,165
aap ki madad kar sakta hun,roman_urdu,160
aap ka shukriya,roman_urdu,155
aap bahut acha bolte hain,roman_urdu,150
aap se milkar khushi hui,roman_urdu,145
aaj ka din kaisa tha,roman_urdu,140
aaj bohot garmi hai,roman_urdu,138
aaj school hai,roman_urdu,135
aaj kuch nahi karna,roman_urdu,130
aaj bohot neend aa rahi hai,roman_urdu,128
main,roman_urdu,200
main theek hun,roman_urdu,195
main ghar ja raha hun,roman_urdu,185
main khaana kha raha hun,roman_urdu,180
main padh raha hun,roman_urdu,175
main bohot thaka hua hun,roman_urdu,170
main kal aaunga,roman_urdu,165
main samajh gaya,roman_urdu,160
main dobara aaunga,roman_urdu,155
main soch raha hun,roman_urdu,150
mujhe,roman_urdu,195
mujhe bhook lagi hai,roman_urdu,190
mujhe pani chahiye,roman_urdu,185
mujhe neend aa rahi hai,roman_urdu,180
mujhe maafi chahiye,roman_urdu,175
mujhe nahi pata,roman_urdu,170
mujhe bahut khushi hai,roman_urdu,165
mujhe yahan jaana hai,roman_urdu,160
mujhe kuch kaam karna hai,roman_urdu,155
mujhe waqt chahiye,roman_urdu,150
kya,roman_urdu,200
kya haal hai,roman_urdu,195
kya baat hai,roman_urdu,190
kya chal raha hai,roman_urdu,185
kya scene hai,roman_urdu,180
kya hua,roman_urdu,175
kya tum theek ho,roman_urdu,170
kya yeh sahi hai,roman_urdu,165
kya aap bata sakte hain,roman_urdu,160
kya aap ghar pe hain,roman_urdu,155
kyun,roman_urdu,190
kyun nahi,roman_urdu,185
kyun ro rahe ho,roman_urdu,175
kyun itni der ki,roman_urdu,170
kyun tension le rahe ho,roman_urdu,165
kahan,roman_urdu,185
kahan ja rahe ho,roman_urdu,180
kahan se aaye ho,roman_urdu,175
kahan rehte ho,roman_urdu,170
kahan milenge,roman_urdu,165
kab,roman_urdu,185
kab aao ge,roman_urdu,180
kab tak,roman_urdu,175
kab se,roman_urdu,170
kab tak wapas aao ge,roman_urdu,165
kaun,roman_urdu,180
kaun hai,roman_urdu,175
kaun sa,roman_urdu,170
kaun si cheez,roman_urdu,165
kaise,roman_urdu,185
kaise ho,roman_urdu,180
